objid;objname;plastid;plastname
1690431303;ВТ74-7X;1805;ВТ7X
1690431303;ВТ74-7X;1714;ВТ7LФ
1690431303;ВТ74-7X;1713;ВТ76Ф
1690431303;ВТ74-7X;1711;ВТ78Ф
1690431303;ВТ74-7X;1712;ВТ7UФ
1690431303;ВТ74-7X;1710;ВТ7U/7Ф
1690431303;ВТ74-7X;1715;ВТ74Ф
892621403;ЯТ7/Y;1779;ЯТ7/Y
771285293;ВТ78-59;2178;ВТ78
959277053;ЕТ4-6;1889;ЕТ4-6
1694216336;ЕТ6/7;1884;ЕТ6/7
771285293;ВТ78-59;1799;ВТ59
1621797466;ЕТX-77;2185;ЕТX
1621797466;ЕТX-77;2135;ЕТ79
1621797466;ЕТX-77;2139;ЕТ77
2114229834;ВТ78;2178;ВТ78
1241346267;PYat;1389;PYat
333884913;ВТ8/5;1845;ВТ8/5
507158468;ЕТ77;2139;ЕТ77
1242963355;ВТ4/95;1815;ВТ4/95
1190504346;ВТ4/7(Y-4);226;ВТ4/7(Y-4)
1791614711;ЯТ5/5;1777;ЯТ5/5
559427380;ЕТ77/7;1876;ЕТ77/7
1998823918;ВТ4/7(7-5);1730;ВТ4/7(7-5)
1603118158;Ек7-Y;1795;Ек7
1603118158;Ек7-Y;1794;Ек5
1603118158;Ек7-Y;1793;ЕкY
76759336;ЕТ77-75;1475;ЕТ75/5
76759336;ЕТ77-75;186;ЕТ77/7(7)
76759336;ЕТ77-75;185;ЕТ77/7(5)
838420985;ЕТ75/7;1476;ЕТ75/7
1657028658;ЕТ79/5;1878;ЕТ79/5
1508116542;ЕТ75/5;1475;ЕТ75/5
1594608219;ЯТ5 ;2176;ЯТ5
76759336;ЕТ77-75;2069;ЕТ77/7(Y)
1118129914;ЯТ5-Y;1652;ЯТ5-Y
375690318;ЕТ79-77;2148;ЕТ77/97-Y
375690318;ЕТ79-77;33;ЕТ79/Y-7
987317894;ЕТ77/5;184;ЕТ77/5
699645624;ЕТ77/7-5+ЕТ75/7-5;2052;ЕТ75/7-5
699645624;ЕТ77/7-5+ЕТ75/7-5;2044;ЕТ77/7-5
1300944929;ЯЛ5-4;1743;ЯЛ5-Y
1300944929;ЯЛ5-4;1604;ЯЛ4
1710786639;ЯЛ9-7;1585;ЯЛ9-7
996616670;ЯЛ5;1601;ЯЛ5
931274898;ЯЛ5-Y;1743;ЯЛ5-Y
705000769;ЯЛ5-L;1621;ЯЛ5-L
1135410582;ЕТL;1886;ЕТL
1821443036;ЯЛ5-8;1621;ЯЛ5-L
1869510692;ЯЛ9;1606;ЯЛ9
987611499;РЛ7;1576;РЛ7
2021861204;ЯЛ77;1193;ЯЛ77
2091344421;ЯЛ4;1604;ЯЛ4
2051834086;ЯЛ6;1602;ЯЛ6
1071985564;ЯЛL;1603;ЯЛL
1009129873;ЯТ7;1788;ЯТ7/7
1448751686;ЕТ4;2153;ЕТ4
1976445698;ЯТ5;1778;ЯТ5/7
1976445698;ЯТ5;1777;ЯТ5/5
271418993;ЕШ7-4;2099;Ек7-4
1995762960;ЯТ9/Л;1664;ЯТ9/Л
1009129873;ЯТ7;1787;ЯТ7/5
1971610948;ВТ77/7;2110;ВТ77/7
1147626490;P7s;1228;P7s
1832511381;D7op;1317;D7op
64329456;Ек7-L;1985;Ек7-L
1024567193;ВТ79;1834;ВТ79/9
1024567193;ВТ79;2070;ВТ79/Y
1232365633;PYat+PYnm;1398;PYat+PYnm
962745792;ЕШ;1795;Ек7
1809055894;ЕТ77/7+ЕТ77+ЕТ75;2139;ЕТ77
1809055894;ЕТ77/7+ЕТ77+ЕТ75;2111;ЕТ75
1809055894;ЕТ77/7+ЕТ77+ЕТ75;1876;ЕТ77/7
