mestid;mestname;objid;objname
841;Дальне-Лиственное;5496823;У-7
841;Дальне-Лиственное;253120687;Г79
2;Лиственное;1913701159;Нижне-среднекембрийский ГЛ
-9594;Площадь Белорассохинская;5496823;У-7
-9596;Площадь Тирская;5496823;У-7
-9598;Площадь Нижненепская;5496823;У-7
-9595;Площадь Алгинская;5496823;У-7
-9628;Площадь Кутамская;253120687;Г79
-9637;Площадь Поперечно-Тирская;253120687;Г79
841;Дальне-Лиственное;1913701159;Нижне-среднекембрийский ГЛ
-9640;Площадь Ершовская;5496823;У-7
-9644;Площадь Ближне-Буриндинская;253120687;Г79
-9549;Площадь Пилюдинская;5496823;У-7
