mestid;mestname;objid;objname
813;Болотистое;959277053;ЕТ4-6
813;Болотистое;840020939;Епт-альб-сеноманский ГЛ
770;Величественное;1694216336;ЕТ6/7
780;Пригородное;1621797466;ЕТX-77
780;Пригородное;840020939;Епт-альб-сеноманский ГЛ
780;Пригородное;1839917720;Et
-9678;Площадь Варанторская;1976445698;ЯТ5
780;Пригородное;1976445698;ЯТ5
-9559;Площадь Лянторская;1621797466;ЕТX-77
780;Пригородное;2036498630;ЯТ5/7
780;Пригородное;2114229834;ВТ78
780;Пригородное;1241346267;PYat
376;Весеннее;11626301;ЕТX
376;Весеннее;333884913;ВТ8/5
376;Весеннее;1976445698;ЯТ5
-9970;Площадь Ближне-Конитлорская;1976445698;ЯТ5
-9508;Площадь Иглорская;1976445698;ЯТ5
-9971;Площадь Малокарьяунская;1976445698;ЯТ5
-9972;Площадь Тутлимская;11626301;ЕТX
780;Пригородное;333884913;ВТ8/5
462;Тёмное;507158468;ЕТ77
462;Тёмное;2130260247;ЯТ9
462;Тёмное;1242963355;ВТ4/95
462;Тёмное;840020939;Епт-альб-сеноманский ГЛ
279;Безмолвное;507158468;ЕТ77
279;Безмолвное;1190504346;ВТ4/7(Y-4)
279;Безмолвное;1791614711;ЯТ5/5
279;Безмолвное;840020939;Епт-альб-сеноманский ГЛ
227;Ближне-Историческое;559427380;ЕТ77/7
229;Лисье;507158468;ЕТ77
229;Лисье;1998823918;ВТ4/7(7-5)
-9963;Площадь Дальне-Студеная;507158468;ЕТ77
-9560;Площадь Ближне-Маслиховская;2130260247;ЯТ9
229;Лисье;840020939;Епт-альб-сеноманский ГЛ
-9976;Площадь Поперечно-Маслиховская;507158468;ЕТ77
-9976;Площадь Поперечно-Маслиховская;1791614711;ЯТ5/5
-9975;Площадь Лопаслорская;507158468;ЕТ77
-9978;Площадь Продольно-Студеная;507158468;ЕТ77
-9960;Площадь Утлорская;2130260247;ЯТ9
-9958;Площадь Новосахалинская;2130260247;ЯТ9
-9961;Площадь Явинлорская;2130260247;ЯТ9
234;Прежнее;2118714907;ВТ4
234;Прежнее;2130260247;ЯТ9
-9956;Площадь Ближне-Утлорская;2130260247;ЯТ9
-9959;Площадь Тайханская;2130260247;ЯТ9
-9962;Площадь Яумынская;2130260247;ЯТ9
234;Прежнее;840020939;Епт-альб-сеноманский ГЛ
227;Ближне-Историческое;1603118158;Ек7-Y
229;Лисье;1976445698;ЯТ5
227;Ближне-Историческое;2036498630;ЯТ5/7
227;Ближне-Историческое;840020939;Епт-альб-сеноманский ГЛ
227;Ближне-Историческое;76759336;ЕТ77-75
227;Ближне-Историческое;838420985;ЕТ75/7
227;Ближне-Историческое;1657028658;ЕТ79/5
227;Ближне-Историческое;1508116542;ЕТ75/5
-9951;Площадь Мытаяхинская;507158468;ЕТ77
-9949;Площадь Верхнетуманная;507158468;ЕТ77
-9952;Площадь Поперечно-Мытаяхинская;507158468;ЕТ77
-9953;Площадь Поперечно-Мытаяхинская-5;507158468;ЕТ77
-9912;Площадь Кашиуринская;2130260247;ЯТ9
-9845;Площадь Продольно-Санлорская;1976445698;ЯТ5
-10017;Площадь Ближне-Туманная;1594608219;ЯТ5 
208;Дальне-Сказочное;2130260247;ЯТ9
208;Дальне-Сказочное;1118129914;ЯТ5-Y
208;Дальне-Сказочное;375690318;ЕТ79-77
209;Ближне-Непроглядное;987317894;ЕТ77/5
219;Ближне-Окружающее;2130260247;ЯТ9
-10062;Площадь Продольно-Санлорская 1;1976445698;ЯТ5
